Resp#,Response,Who,How,model1
73,It is racist and nonsense,0,1,1
74,teaching our youth about the history of the US and how racism factored in how our country was developed (ie slavery),1,1,2
75,do not know,0,0,0
76,it is a rewrite of American History. It paints the USA as a horrible brutal place to live. It paints regimes like Communist China as wonderful. It makes the divide between races worse then they ever have been and paves the way for race wars. Horrible is the word to start hate with children before they are fully potty trained.,1,1,2
77,It's a graduate-level/law school concept reflecting the impact which government/societal institutions and policies have had on inequality based on race in this country.,0,1,1
78,CRT is a racist effort to create a feeling of victimization of people of color and to penalize white people for their color.,1,1,2
79,Race is a social construct that the laws treats minorities unfairly,0,0,0
80,Distorted history so not to alienate the bkavk race. It's wrong. History should be taught correctly no matter whst its contents,1,1,2
81,It is a theory and nothing else and not something to fear.,0,1,1
82,"It is an important subject, it is about historical treatment of black and brown peoples in this country, but it is not taught in grammer school, mostly law schools. The danger of CRT is a fake narrative by the right wing.",1,1,2
83,Teaches our children that white people have always oppressed people of color and it is a fact that our USA is based on oppressing people of color even today.,1,1,2
84,should be done away with,0,1,1
85,don't like it,0,1,1
86,"A Marxist theory that replaces Marx's idea of a class struggle with a struggle of the oppressed (e.g. everyone except white people) against the oppressors, with the idea that oppression is baked into all economic and political institutions and into all white people specifically.",1,1,2
87,It turns one race against another.,0,1,1
88,Bad,0,1,1
89,"determining racism in schools, economics, etc",0,0,0
90,Talking about pros and cons due to racism,0,0,0
91,Equality,0,1,1
92,Its racist and it teaches people to hate.,0,1,1
93,stating that racism is totally in our lives today,0,1,1
94,movement where civil rights laws were eroded and schools resegregated,0,1,1
95,completely inaccurate,0,1,1
96,The truth about the beginnings and horrible conditions of slavery in our country and how it was enabled to continue by powerful Caucasians.,1,1,2
97,The study of how laws and customs interact to perpetuate disadvantages to all people of color and perpetuate advantages mostly to poor whites.,1,0,1
98,It is a destructive curriculum and causes division. Teach our history but don't try and destroy everyone for something that happened and was resolved over 100 years ago.,0,1,1
99,The equal opportunity,0,1,1
100,"That our society has institutionalized racist behavior to the extent that it has become normalized, and unconscious bias exists in most people.",0,0,0
101,Protection of all races,0,0,0
102,That the US has discrimated against minorities through out its history,0,0,0
103,garbage,0,1,1
104,That society in the u.s. is based on racial discrimination throughout our history.,0,0,0
105,Viewing most things through a prism of race and insisting racism is built into our system while ignoring the real racism of affirmative action.,0,1,1
106,"That racial inequality persists in our laws and institutions as a result of our past, involving slavery, segregation, redlining.",0,0,0
107,"Race is made up, biologically we are all the same race, but racial categories were created in order to control and oppress people of color.",0,1,1
108,THIS SHOULD NEVER BE TAUGHT.NONE OF U CAN CONTROL OUR SKIN COLOR. WE ALL WERE BORN INTO THIS WORLD THE SKIN COLOR THAT WE HAVE.!,0,1,1
109,Not good,0,1,1
110,"CRT is a Communist inspired ideology that says all differences in outcomes are results of racism, and that virtues such as self-reliance, meritocracy, and non-discrimination should be rejected as being white supremacy. The purpose of teaching this to children is to worsen race relations and destroy confidence in our society and its institutions, just as happened during China's Cultural Revolution.",1,1,2
111,Study of racism in public policy,0,0,0
112,A lie,0,1,1
113,To me is is portraying all whites as racists.,1,1,2
114,Teaches that white people are to blame for racism,1,1,2
115,"IT IS TAUGHT IN LAW SCHOOL, NOT PUBLIC EDUCATION.",0,1,1
116,The US was founded on slavery and people of color should get extra help financially now because of history. White people have privileges that others do jot,1,1,2
117,Bullshit to keep the hatred going,0,1,1
118,I have no idea about the details,0,0,0
119,anti-White Racism,1,1,2
120,"Institutional racism continues in the US. Our current cultural framework is based on more privilege to white males. CRT, taught properly, will help eliminate this institutional bias during this century.",1,1,2
121,blaming others for your situation. Taking behaviors from the past out of context,0,1,1
122,"faulty, teaches the opposite of tolerance",0,1,1
123,CRT is an agenda designed to increase racial strife in our nation.,0,1,1
124,Stupid people trying to break the country apart.,0,2,2
125,"Critical Race Theory is a postgraduate-level framework for viewing US laws, institutions, and history that sees them as being rooted in racial inequality / systemic racism.",0,1,1
126,Opinions on make up of races,0,0,0
127,Teaching what real history was about and not try to sugar coat it,0,1,1
128,It's repackaged Marxism in the form of racism,0,1,1
129,"Critical Race Theory (CRT) is racism against White people. CRT has no place in a multi-racial/ multi-ethnic democratic society. If it is wrong for people to believe Blacks are inferior, it is equally wrong to believe the same about Whites.",1,1,2
130,it teaches children that white people are racist.,1,1,2
131,Educating about inequality of non-white peoples in history and even today,0,0,0
132,about things being based on systemic racial biases,0,0,0
133,America's history of race inequality,0,0,0
134,honest history,0,1,1
135,It is simply acknowledging that race has played a part in laws and actions by those in charge (typically wealthy white men) since the foundation of the US.,1,1,1
136,re-writing history as it has been taught to emphasize the after-effects of slavery,0,1,1
137,"CRT is the concept that social policies have been developed to discriminate based on race, to the benefit of white people and detriment of people of color.",1,0,0
138,It is important and should be taught in schools.,0,1,1
139,"Critical race theory is a legal theory that describes America's institutions (police, hospitals, gov agencies, etc) as inherently anti black and racist.",1,0,1
140,Teaching the wrong information about race relations.,0,1,1
141,"I don’t know, something, something “intersectionality”, something something else. I don’t pay much attention to buzz words.",0,0,0
142,Don't know,0,0,0
143,"It seems a bit extreme, but there is some truth in it.",0,1,1
144,It's the idea that systematic racism is baked into the institutions of this country therefore not giving people of color a fair advantage in such a system.,0,0,0
145,CRT (in reality) is a doctorate-level subject taught in law schools. republicans and conservatives have co-opted the term to apply to any and all social studies curriculum dealing with the history of the united states that may put some of that history in a negative light,1,1,2
146,Something that should be left to the parents to teach.,0,1,1
147,People judging others solely on race. Pitting one race against another.,0,1,1
148,ALL white people are raceist,1,1,2
149,The Civil Rights movement for one. I was there when MLK made his speech.,0,0,0
150,bull shit teach students how to invest,0,1,1
151,Expounding on black heritage,0,1,1
152,bullshit,0,1,1
153,I do not have a strong opinion about CRT.,0,0,0
154,It is a COLLEGE level subject discussing systematic racism. It is NOT taught in elementary or high school.,0,1,1
155,"Teaching the truth of history, that we(Caucasians)have mistreated people of color for all of our countries history. We need to acknowledge that, and try to improve it",1,1,2
156,Soft teaching racism without telling the entire truth,0,1,1
157,Division between the different races,0,1,1
158,Making victins and winners and dividing us,0,1,1
159,not certain,0,0,0
160,Race inequality,0,0,0
161,Education regarding the historical racial inequity in the US and how the legacy thereof continues to manifest.,0,0,0
162,"Critical race theorists reject the philosophy of “colorblindness.” They acknowledge the stark racial disparities that have persisted in the United States despite decades of civil rights reforms, and they raise structural questions about how racist hierarchies are enforced, even among people with good intentions",0,1,1
163,"a theory that purports the idea that the white race is superior and colored races, especially blacks, are inferior.",1,0,1
164,Inequality among blacks and white,1,0,1
165,CRT is the teaching of the truth about the history of racism in America,0,1,1
166,Looking at societal inequities being at least in some small part influenced by or a result of racism.,0,0,0
167,BS,0,1,1
168,The factual discussion of racial history in this country and the ongoing consequences thereof.,0,1,1
169,Teaches the truth and the facts,0,1,1
170,Deals with racism,0,0,0
171,I don't know enough to even guess.,0,0,0
172,That racism is built into our society as a whole after generations of racism.,0,0,0
173,"racism is not the product of individual bias or prejudice, but also something embedded in legal policies.",0,0,0
174,Teaching inequities regarding race.,0,0,0
175,"CRT maintains that racism is deeply embedded in US policy, law and society, rather than purely individual and personal.",0,1,1
176,That whites are inherently racist,1,0,1
177,its the theory that certain races are at a disadvantage and others are oppressing them,0,0,0
178,CRT is something taught in colleges to help explain systemic racism in our nation and how it has affected our history.,0,0,0
179,I really don't know,0,0,0
180,A particular historical slant created and adopted by university-level history departments.,0,1,0
181,Critical race theory is rewriting history and is at best a racist ideaology.,0,1,1
182,Critical race theory (CRT) is a cross-disciplinary intellectual movement that began in the United States in the post-civil rights era as 1960s landmark civil rights laws were being eroded and schools were being re-segregated,0,0,0
183,I agree,0,1,1
184,Teaching people about the history of racism and how to avoid it,0,0,0
185,It has no place in any school system,0,1,1
186,it gives facts about racism in america,0,1,1
187,Teaching that white people have been privileged since the founding of this country and now the tables should be turned.,1,1,2
188,the history of racial relations both positive and negative.,0,0,0
189,that race determines your future and America is racist.,0,0,0
190,Making people feel like racists,0,1,1
191,Critical race theory is a way of understanding racial issues. It's an intellectual movement from the 1960s.,0,0,0
192,I think it gives an idea of what race is all about.,0,1,1
193,I don't know,0,0,0
194,"A very niche academic discipline with little to no influence anywhere, unfortunately",0,1,1
195,San accurate depiction if our history.Not wwhite-washed,0,1,1
196,bunch of garbage promoted by left wing radicals,1,1,2
197,Explaining that the white people made this country on the backs of slaves and white people are bad,1,1,2
198,"When segregation was supposed to be taking place in schools there was still race inequalities, because schools were being re-segregated",0,0,0
199,None,0,0,0
200,An attempt to divide Americans.,0,1,1
201,bullshit guilt trip a blame game against white people,1,1,2
202,,0,0,0
203,a way to show favoritism to minorities,0,1,1
204,Creating a narrative that would cause one to be ashamed of who they are,0,1,1
205,True teaching of race history in this country,0,1,1
206,My children will most definitely not be taught reverse racism !!!! I'll pull them out of school the moment they try that bs !!! This has gone too far and now allows for those people who CHOOSE to play the victim to use reverse racism to do all sorts of dumb stuff. We are so screwed if we continue on this path....The new WOKE bs is a travesty !!!,1,1,2
207,an effort to continue to separate the races by trying to relive the past of years ago. It marginalizes the efforts of Dr. Martin Luther King and many of his era.,1,0,1
208,teaching children that white people are to blame for all their problems and basically everything throughout history,1,1,2
209,bullcrap,0,1,1
210,CRT is a legal educational ideology that exhibits examples of systemic racial discrimination toward black and brown people in the USA.,1,0,1
211,Critiquing one specific race for their actions and beliefs.,0,1,1
212,"CRT is teaching how race has impacted US history, economics, culture, society, justice, etc. since at least 1619 if not 1492.",0,1,1
213,An honest look at America's failure to address racial inequality,0,1,1
214,CRT is something taught only in higher education about systemic racism.,0,1,1
215,Blacks have been systemically held back over 200+ years of racism,1,1,2
216,No place for it in schools get back to teaching the basics,0,1,1
217,"An academic method for the study of the impacts of attitudes toward race, especially Black Race, on social and political life in the USA",1,0,1
218,"Marxist, anti-American",0,1,1
219,Teaching that whites are oppressors,1,1,2
220,I have no opinion.,0,0,0
221,Viewing social issues from the perspective of minority populations.,0,0,0
222,crt is a law school course and NOT taught in public schools!!,0,1,1
223,Diversity training,0,1,1
224,Disinformation,0,1,1
225,"from before the founding of the country whites have tried to keep dark skin and other races in subjugation. Slavery was one way and then when it was outlawed, other methods were used: redlining real estate, segregation, GI bill, sun downer laws, war on drugs is thinly veiled attack on other than white races, policing and on and on.",1,1,2
226,It is ridiculous,0,1,1
227,Certain school districts do not want the white students to know the truth about their great grandparents owing and selling slaves.,1,1,2
228,Labeling people according to race. All white people are oppressors and all people of color are oppressed,1,0,1
229,Crock of shit,0,1,1
230,Hghgggh,0,0,0
231,It’s a college level theory on institutionalized racism.,0,0,0
232,"bias, racist and disruptive.",0,1,1
233,I think it is biased and should not be taught in our schools,0,1,1
234,That blacks have been discriminated against through out the history of the U.S.,1,0,1
235,A graduate-level study to present a valid and balanced view of race relations,0,1,1
236,I have researched,0,0,0
237,Yes,0,1,1
238,Teaching the history of racism and the effects and costs on society and individuals.,0,0,0
239,race repression due to social structure,0,0,0
240,Contrived bilge!,0,1,1
241,"That all the founders were racist slave owners, blah blah blah.",0,1,1
242,The teaching about slavery.,0,0,0
243,Racial inequality is ingrained implicitly in all levels of society,0,0,0
244,"The systematic study of how the United States, from the time the European powers landed here in the 1500s and 1660s, has used race and ethnicity to subjugate the ""other,"" and institutionalize slavery, making racism and bigotry systemic in all our areas of government and business. We're still a racist country and it's time we told the truth about slavery and white nationalism, neither benign nor to be ignored.",0,1,1
245,Everything is about race,0,0,0
246,Good thing for the people,0,1,1
247,"White people are racist just because they are white. Since the US was founded by white men, it is institutionally racist to the core.",1,1,2
248,Not sure,0,0,0
249,The theory that laws intended to help people actually hurt people of color.,0,0,0
250,The study of systemic racism.,0,0,0
251,"Study of causes, etc. of racism.",0,0,0
252,i dont know,0,0,0
253,teaching childern that 1 race is better than the other is wrong and that the founding fathers was raceists is wrong,1,1,2
254,That white people have discriminated against minorities,1,0,0
255,The teaching of historic events in history to do with racism affecting people's opinions now even about race or discrimination,0,1,1
256,Systemic racism in our government and institutions,0,0,0
257,Propaganda,0,1,1
258,A graduate level legal theory about how the current US system keeps racial minorities in unequal situations. Not something taught in K-12 schools.,0,1,1
259,The idea that some people think they are superior to other people based on the color of their skin or other uncontrollable genetic factors. It also suggests that some groups of people allow themselves to become slaves instead of trying to die escaping.,0,0,0
260,Okay y,0,0,0
261,The history of black people in America since 1619.,1,0,1
262,"That racism is built in to all of our society and government and those of European lineage are automatically designated as oppressors and all other ""races"" are oppressed.",0,1,1
263,Critical race theory is a cross-disciplinary intellectual movement that began in the United States in the post-civil rights era as 1960s landmark civil rights laws were being eroded and schools were being re-segregated.,0,0,0
264,"Discussion (purportedly ""objective"") regarding the issues surrounding race in the history of the world and the United States. It dates back to the 1960s and 1970s.",0,1,1
265,"whites are racist, non whites are victims, united states is bad",1,1,2
266,People of color have been grossly discriminated against and punished by white christian America.,1,1,2
267,A poor excuse to try and blame white people for racism. Claiming racism is a social construct not a biological one which is perpetuated by whites to allow them to excuse oppression of other races especially blacks.,1,1,2
268,That being black puts all blacks at a disadvantage,1,1,2
269,It is necessary and the fact that it might hurt white people's feelings is ludicrous and has nothing to do with learning all of history,1,1,2
270,It is wrong. I went to school with different races and incomes. We were taught respect and history. history is taught as it was and then taught how to improve the bad history with respect to each other. This kind of teaching is what is creating racial problems.,0,1,1
271,It states that white have an unequal advantage over other races.,1,0,1
272,Two classes of people oppressed and oppressor regardless of how your feel. Your skin color is the only determining factor. It's a Marxist philosophy dressed up as scholarship.,0,1,1
273,The study of race relations,0,0,0
274,"It views everything through a racial lens, and can make children of certain races feel guilty for being the race that they are, or that they have to apologize for things that have happened in the past that are not their fault. It can also make children of certain races feel as though they're going to be inferior no matter what, based on something about themselves that they can't change, and that it's someone else's fault.",1,1,2
275,Study of racial inequality,0,0,0
276,It is races and undermines one’s character.,0,1,1
277,critical race theory is that whites people should rule the world and that the problems that blacks encountered never existed.,1,1,2
278,It’s taught in graduate school setting touching on the cause/effect of systemic racism.,0,0,0
279,A legal argument to discuss racial history.,0,0,0
280,"That all of a certain race are guilty of discrimination (or worse) in treatment of a different race, simply because of their color at birth.",0,1,1
281,Theory that whites oppress blacks.,1,1,2
282,Not sure.,0,0,0
283,"Honestly, what I have heard is very conflicting. So I guess, not really sure!",0,0,0
284,Always racist part of the American fabric,0,1,1
285,teaching kids that they should hate white as if you are of a different color,1,0,1
286,It Sucks! Designed to divide the country more than it was all ready.,0,1,1
287,Teaching children about race theory,1,0,1
288,"I thinks it’s necessary, we can’t hide the truth about the sordid history of this country as it relates to racial inequality.",0,1,1
289,schools are not teaching critical race theory now.. It is that due to past slavery/hatred things are still not even,0,1,1
290,That all white folks are inherently racist and that all black folks are continually subjugated,1,1,2
291,The. Darker the skin the better the person,0,1,1
292,Critical race theory teaches that white people are racist and hate all minority.,1,1,2
293,This is the same technique used by Adolf Hitler to brainwash the natz youth. By inconvently leaving out the real history of slavery. Tell the whole story or tell nothing. This CRT is full of lies and half truths.,1,1,2
294,Bullshit,0,1,1
295,"racism is embedded in legal finding, not socially built",0,0,0
296,Misused as a wedge isue.,0,1,1
297,I think it is based on opinion rather than facts.,0,1,1
298,The factual teaching of our country's history of enslavement and continued persecution and disenfranchisement of people of color.,0,1,1
299,The idea that there is clear path from slavery to todays systemic racial biases and that until we all know ALL our history it cannot be changed. Education and facts not white washing of history,0,1,1
300,"It links racism, race and power.",0,0,0
301,pertaining to ones history,0,0,0
302,CRT is an effort to redirect education to actually represent history as it happened and the negative repercussions it has on people of color and indigenous people.,1,1,2
303,It is a construct used in graduate schools to examine the history and institutions of the United States and how they were shaped by racism.,0,1,1
304,A belief that people of color are against white people.,1,1,1
305,Turning races against eachother and causing more divisiveness,0,1,1
306,Democratic agenda to further make race relations worse. Shame white people and cause chaos in the country . To promote socialism.,1,1,2
307,Teaching the truth about our history,0,1,1
308,explaining racial inequality,0,0,0
309,"Sadly, blaming whites for all black people's problems.",1,1,2
310,Judging people by their color.,0,0,0
311,An academic theory that systems and institutions are inherently and persistently biased against people of color.,0,0,0
312,theory that racism is linked to race,0,0,0
313,"CRT is based on a paper written by a college professor that insists that racism is embedded in our American culture and that today's white people or Caucasians should be held financially and socially responsible for what happened in our country over 250 years ago. That is also a spin-off of the 1619 project. CRT is hateful, racist in its ideology as are the proponents of CRT. I will not do business with any company that supports BLM, CRT or the 1619 project.",1,1,2
314,The way others look at people of different races.,0,0,0
315,Teaching students that white people have built a system inherently racist for the express purpose of keeping minorities down and elevating white people,1,1,2
316,I never heard of it,0,0,0
317,It's a bunch of Marxist nonsense. Dividing people by race is inherently racist.,0,1,1
318,don't know,0,0,0
319,Racist,0,1,1
320,i don't know,0,0,0
321,wertyuioprtyuio,0,0,0
322,Teaching the history of racism and inequality in America.,0,1,1
323,It shows how racism has affected our institutions. How racism has affected our financial systems. It shows that historically we have kept certain people down and out of the system,0,1,0
324,How to be a racist,0,1,1
325,CRT posits that the country is based on systemic race based laws to foster White supremacy.,1,0,1
326,"Where people regardless of sexual orientation, color, nationality, or beliefs should be given absolute grounds to explicit their ideologies to over rule the common good.",0,0,0
327,CRT teaches that white people are inherently bad and that black people are inherently good.,1,1,2
328,Making sure all generations are aware of the struggles and hardships visited upon people of color for no reason other than the color of their skin.,0,1,1
329,A fear mongering talking point of the racist Republicans,1,1,2
330,"Examination of the ongoing racial inequality, prejudice and discrimination that was established into the mainframe of federal and state governments, into all facets of daily life, and what changes need to be made legally, financially and educationally to make life more equitable for all citizens of the United States.",0,0,0
331,I think is CRT good modern theory,0,1,1
332,Racist.,0,1,1
333,CRT is basically about the uneven playing field between the so call Black & White people in once again the so called America. Came about.,1,1,2
334,Those races in power determine everything,0,0,0
335,"that some people don,t like other colors.",0,0,0
336,Telling the truth no matter how uncomfortable it feels.,0,1,1
337,teaching ow long term racism holds people back even when they are not direct victims of racism,0,0,0
338,Systemic racism,0,0,0
339,Creating a perpetual permanent victim class that is told that they can't do anything because...... It is disgusting and actually insulting to minorities.,0,1,1
340,a college course,0,0,0
341,Don't think we should teach. Our children to. Hat,1,1,2
342,failure,0,1,1
343,How race impacts society and the decisions that are made,0,0,0
344,I think it's all BS.,0,1,1
345,Teaching kid to hate different races.,0,1,1
346,"A graduate level study of how race relations have affected politics, culture, etc",0,0,0
347,Teaching children that racial inequality does exist and teaching them how to break it,1,1,2
348,"it's a way of thinking, based on race",0,0,0
349,?,0,0,0
350,It’s bullshit,0,1,1
351,divisive brainwashing devised to destroy the nation from within,0,1,1
352,whites having more of an advantage,1,1,2
353,Not sure,0,0,0
354,Show how discrimination of African Americans through the country’s history has created an uneven playing field for them,1,1,2
355,Racism taught in school is in its self-racist. It does not belong in schools!!,0,1,1
356,"Raise awareness on how USA has systemic racism built into its laws, dating back to post civil war",0,1,1
357,Everything is taught and judged as a racial issue,0,1,1
358,Teaching about racial discrimination through out our history. Helping the young see why is is bad and how to treat others fairly.,1,1,2
359,It's a MARXIST spin regarding race relations to divide people. It lies about how our country was founded as a racist country and sets up black people as the oppressed and the white people as oppressors and teaches children to judge based on the color of their skin.,1,1,2
360,"academic movement which seeks to link racism, race, and power.",0,0,0
361,Lefts way to gain support.,0,1,1
362,Not teaching exactly what race/ slavery is,0,1,1
363,Brain washing,0,1,1
364,Mostly made up by people with an agenda,0,1,1
365,A bullshit lie used by those afraid of history and the truth.,0,1,1
366,too much race talk,0,1,1
367,Racist left-wing propaganda designed to divide Americans from each other.,0,1,1
368,misunderstood,0,1,1
369,Communist dominance of children's minds. Disgusting teachings of Satanic rituals.,1,1,2
370,The premise that discrimination is inherent in our society and country.,0,0,0
371,A distorted method of blaming one race solely for another race's misfortune.,0,1,1
372,"A racist doctrine, that promotes false narratives about the past and current state of race relations in the United States.",0,1,1
373,This is studied at college level and not in the lower grade system,0,1,1
374,I've only heard about it.,0,0,0
375,don't know enough to describe,0,0,0
376,It is a legal construct to make sure laws are reminded not to be biased.,0,0,0
377,crt is fascist racism,0,1,1
378,Racist against white people,1,1,2
379,I think it means the fact that schools haven't been teaching the truth about racism in our country,0,1,1
380,difference between races in every day life,0,0,0
381,"Explaining how racism has been incorporated into our society in all aspects, for those who are non-white.",0,0,0
382,Discrimination against different races,0,0,0
383,Not sure,0,0,0
384,White race keeping all other races down,1,0,1
385,Changing the way we see each other,0,1,1
386,"People of color have been victimized for centuries, and have not had the same opportunities as white people",1,0,1
387,I haven't read that much into it,0,0,0
388,US history that isn't and hasn't been taught in our schools.,0,1,1
389,Inherent and ingrained social discrimination,0,1,1
390,"Race is a social construct, and racism is not the solely a product of individual bias or prejudice. Racism is baked into social systems as evidenced through the law and policies. Although laws and policies are changing to be more inclusive of all citizens in the US, patterns of discrimination still exist, and need to be recognized and dealt with.",0,0,0
391,"It is a theory that began rights post civil rights era, civil right rights were being eroded and schools were being segregated.",0,0,0
392,It keeps people at strif with each other,0,1,1
393,"Crt is nothing more than an attempt to further divide our country, specifically racial division, and create Actual racists amongst both races of people.. It teaches inequality instead of equality and teaches hate and division instead of cooperation and togetherness.. The race baiting liberals can call it whatever they want, but those pathetic, racist pieces of crap know exactly what it really is..",1,1,2
394,Educating about the history of racism and oppression,0,1,1
395,FALSE,0,1,1
396,CRT is essential to all school aged children to help prevent and end racism in America.,1,1,2
397,Exjaggerrated teachings of how black and white are to each other. Blacks are victims and whites are racists.,1,1,2
398,I dont know,0,0,0
399,"A teaching theory, used in college curriculum, in which the power systems in the U.S. were devised and constructed with explicit and implied racism, and they function in an inherently racist way, without relying on racist operators.",0,0,0
400,equality,0,1,1
401,Good,0,1,1
402,racist,0,1,1
403,No opinion.,0,0,0
404,I have never heard EXACTLY what it is,0,0,0
405,a lie based on predigest racist lies to divide our country,0,1,1
406,Challenges the way racism impacts society.,0,0,0
407,Not what they are trying to make it out to be. That is taught in some colleges. They don't want anything race related taught in schools.,0,1,1
408,"Explaining how minorities have been systematically oppressed and explaining privilege, etc",0,0,0
409,Not taught and a conservative boogie man to scare bored parents,0,1,1
410,Teaching about racial inequalities.,0,0,0
411,it teaches white kids to be guilty about thier race,1,1,2
412,It’s how people who are not white Americans treat people of color as less than the person they are and how Americans treat immigrants terribly,1,0,1
413,"Critical Race Theory is the fact that due to the systematic oppression of other races by the US government which was primarily ran by white individuals, over a long period of time has created a myriad of circumstances which have led to individuals belonging to those systematically oppressed races to be at a disadvantage in their standing in life, in terms of finances, education, healthcare, etc.",1,0,1
414,"A theoretical way to look at society, rules, laws, assumptions, and behaviors that consider how race and other identifiers are handled and how they shape those laws, actions and impacts.",0,0,0
415,a legal theory proposing that racial discrimination is hard-wired into the social and legal infrastructure of the nation,0,0,0
416,Not sure,0,0,0
417,"Critical Race Theory is a post-secondary education-level theory that every aspect of our lives (e.g., governance, laws, justice, law enforcement) are fundamentally impacted by race, whether directly or indirectly.",0,0,0
418,no opinion exact this type,0,0,0
419,Teaching children in school about the history of treatment of blacks in our country,1,0,1
420,"Simply because of skin color, some people are racist while others are oppressed.",0,1,1
421,"Not sure what the definition is. I think all aspects of history should be taught accurately, eveen if it show the bad side of this country. That is my meaning.",0,1,1
422,Critical race theory is a concept that everything in this society is designed to benefit a white majority,1,0,1
423,Oppression,0,1,1
424,It shouldn’t be taught in school,0,1,1
425,I don’t know,0,0,0
426,"It is institutionalized and state sanctioned bigotry against white people, and taught victimhood to minority students and has no place being preached to minors. Save such fields of discussion to college campuses if it must exist at all.",1,1,2
427,Teaching involving a view that white Americians have a inherent guilt for past inequities and that people of color are inherent victims regardless of what is done.,0,1,1
