cowcode,stateabb,statename,relevance,from,to,group,size,status,warid,warid2,groupid,cowgroupid
41,HAI,Haiti,Yes,1946,1956,Mulatto,0.05,SENIOR PARTNER,,,2000,4102000
41,HAI,Haiti,Yes,1957,2005,Blacks,0.95,SENIOR PARTNER,,,1000,4101000
41,HAI,Haiti,Yes,1957,2005,Mulatto,0.05,JUNIOR PARTNER,,,2000,4102000
42,DOM,Dominican Republic,Yes,1946,2005,Dominicans,0.93,MONOPOLY,,,1000,4201000
42,DOM,Dominican Republic,Yes,1946,2005,Haitians,0.07,DISCRIMINATED,,,2000,4202000
51,JAM,Jamaica,No,1962,2005,,,,,,,
52,TRI,Trinidad and Tobago,Yes,1962,1985,East Indians,0.403,POWERLESS,,,1000,5201000
52,TRI,Trinidad and Tobago,Yes,1962,1985,Blacks,0.396,DOMINANT,,,2000,5202000
52,TRI,Trinidad and Tobago,Yes,1986,1990,East Indians,0.403,SENIOR PARTNER,,,1000,5201000
52,TRI,Trinidad and Tobago,Yes,1986,1990,Blacks,0.396,JUNIOR PARTNER,28500,,2000,5202000
52,TRI,Trinidad and Tobago,Yes,1991,1994,East Indians,0.403,POWERLESS,,,1000,5201000
52,TRI,Trinidad and Tobago,Yes,1991,1994,Blacks,0.396,DOMINANT,,,2000,5202000
52,TRI,Trinidad and Tobago,Yes,1995,2001,East Indians,0.403,DOMINANT,,,1000,5201000
52,TRI,Trinidad and Tobago,Yes,1995,2001,Blacks,0.396,POWERLESS,,,2000,5202000
52,TRI,Trinidad and Tobago,Yes,2002,2005,East Indians,0.403,POWERLESS,,,1000,5201000
52,TRI,Trinidad and Tobago,Yes,2002,2005,Blacks,0.396,DOMINANT,,,2000,5202000
70,MEX,Mexico,Yes,1946,1974,Mestizo,0.85,DOMINANT,,,1000,7001000
70,MEX,Mexico,Yes,1946,1974,Indigenous peoples,0.11,DISCRIMINATED,,,2000,7002000
70,MEX,Mexico,Yes,1946,1974,Afromexicans,0.005,DISCRIMINATED,,,9000,7009000
70,MEX,Mexico,Yes,1975,1994,Mestizo,0.85,DOMINANT,,,1000,7001000
70,MEX,Mexico,Yes,1975,1994,Indigenous peoples,0.11,POWERLESS,30800,,2000,7002000
70,MEX,Mexico,Yes,1975,1994,Afromexicans,0.005,IRRELEVANT,,,9000,7009000
70,MEX,Mexico,Yes,1995,2005,Mestizo,0.85,DOMINANT,,,1000,7001000
70,MEX,Mexico,Yes,1995,2005,Indigenous peoples,0.11,REGIONAL AUTONOMY,,,2000,7002000
70,MEX,Mexico,Yes,1995,2005,Afromexicans,0.005,IRRELEVANT,,,9000,7009000
90,GUA,Guatemala,Yes,1946,1985,Guatemalans (Mestizo),0.6,MONOPOLY,,,1000,9001000
90,GUA,Guatemala,Yes,1946,1985,Mayas,0.392,DISCRIMINATED,13601,,2000,9002000
90,GUA,Guatemala,Yes,1946,1985,Xinca,0.0014,IRRELEVANT,,,4000,9004000
90,GUA,Guatemala,Yes,1946,1985,Garifunas,0.0004,IRRELEVANT,,,5000,9005000
90,GUA,Guatemala,Yes,1986,2005,Guatemalans (Mestizo),0.6,DOMINANT,,,1000,9001000
90,GUA,Guatemala,Yes,1986,2005,Mayas,0.392,REGIONAL AUTONOMY,13601,,2000,9002000
90,GUA,Guatemala,Yes,1986,2005,Xinca,0.0014,REGIONAL AUTONOMY,,,4000,9004000
90,GUA,Guatemala,Yes,1986,2005,Garifunas,0.0004,REGIONAL AUTONOMY,,,5000,9005000
91,HON,Honduras,Yes,1946,2005,Hondurans,0.91,MONOPOLY,,,6000,9106000
91,HON,Honduras,Yes,1946,2005,Lenca,0.046,REGIONAL AUTONOMY,,,7000,9107000
91,HON,Honduras,Yes,1946,2005,Miskitos,0.0084,REGIONAL AUTONOMY,,,9000,9109000
91,HON,Honduras,Yes,1946,2005,Garifs (Black Caribs),0.0076,REGIONAL AUTONOMY,,,10000,9110000
91,HON,Honduras,Yes,1946,2005,Chorti,0.0056,REGIONAL AUTONOMY,,,12000,9112000
91,HON,Honduras,Yes,1946,2005,Tawahka,0.0004,REGIONAL AUTONOMY,,,16000,9116000
92,SAL,El Salvador,No,1946,2005,,,,,,,
93,NIC,Nicaragua,Yes,1946,1987,Nicaraguans (Mestizo),0.845,MONOPOLY,,,1000,9301000
93,NIC,Nicaragua,Yes,1946,1987,Afronicaraguans,0.09,IRRELEVANT,,,2000,9302000
93,NIC,Nicaragua,Yes,1946,1987,Miskitos,0.04,POWERLESS,24001,,3000,9303000
93,NIC,Nicaragua,Yes,1946,1987,Mayangnas,0.0095,IRRELEVANT,,,5000,9305000
93,NIC,Nicaragua,Yes,1988,2005,Nicaraguans (Mestizo),0.845,DOMINANT,,,1000,9301000
93,NIC,Nicaragua,Yes,1988,2005,Afronicaraguans,0.09,POWERLESS,,,2000,9302000
93,NIC,Nicaragua,Yes,1988,2005,Miskitos,0.04,REGIONAL AUTONOMY,24001,,3000,9303000
93,NIC,Nicaragua,Yes,1988,2005,Mayangnas,0.0095,REGIONAL AUTONOMY,,,5000,9305000
94,COS,Costa Rica,Yes,1946,2005,Costa Ricans,0.93,DOMINANT,,,1000,9401000
94,COS,Costa Rica,Yes,1946,2005,Afrocosta Ricans,0.02,REGIONAL AUTONOMY,,,2000,9402000
95,PAN,Panama,Yes,1946,2005,Panamans,0.853,MONOPOLY,,,1000,9501000
95,PAN,Panama,Yes,1946,2005,Afropanamenos,0.071,DISCRIMINATED,,,2000,9502000
100,COL,Colombia,Yes,1946,1991,Columbians,0.73,MONOPOLY,,,1000,10001000
100,COL,Colombia,Yes,1946,1991,Afrocolumbians,0.234,DISCRIMINATED,,,2000,10002000
100,COL,Colombia,Yes,1946,1991,Indigenous peoples,0.017,DISCRIMINATED,,,3000,10003000
100,COL,Colombia,Yes,1992,2005,Columbians,0.73,DOMINANT,,,1000,10001000
100,COL,Colombia,Yes,1992,2005,Afrocolumbians,0.23,REGIONAL AUTONOMY,,,2000,10002000
100,COL,Colombia,Yes,1992,2005,Indigenous peoples,0.017,REGIONAL AUTONOMY,,,3000,10003000
101,VEN,Venezuela,Yes,1946,1999,Venezuelans,0.862,MONOPOLY,,,1000,10101000
101,VEN,Venezuela,Yes,1946,1999,Afrovenezuelans,0.1,IRRELEVANT,,,2000,10102000
101,VEN,Venezuela,Yes,2000,2005,Venezuelans,0.862,MONOPOLY,,,1000,10101000
101,VEN,Venezuela,Yes,2000,2005,Afrovenezuelans,0.1,POWERLESS,,,2000,10102000
130,ECU,Ecuador,Yes,1946,1989,Ecuadorians,0.55,MONOPOLY,,,2000,13002000
130,ECU,Ecuador,Yes,1946,1989,Indigenous peoples,0.4,POWERLESS,,,4000,13004000
130,ECU,Ecuador,Yes,1946,1989,Afroecuadorians,0.005,DISCRIMINATED,,,5000,13005000
130,ECU,Ecuador,Yes,1990,2005,Ecuadorians,0.55,SENIOR PARTNER,,,2000,13002000
130,ECU,Ecuador,Yes,1990,2005,Indigenous peoples,0.4,JUNIOR PARTNER,,,4000,13004000
130,ECU,Ecuador,Yes,1990,2005,Afroecuadorians,0.005,DISCRIMINATED,,,5000,13005000
135,PER,Peru,Yes,1946,1969,Quechua,0.46,DISCRIMINATED,,,1000,13501000
135,PER,Peru,Yes,1946,1969,Peruvians,0.425,MONOPOLY,,,2000,13502000
135,PER,Peru,Yes,1946,1969,Aymara,0.054,DISCRIMINATED,,,3000,13503000
135,PER,Peru,Yes,1946,1969,Afroperuvians,0.02,DISCRIMINATED,,,4000,13504000
135,PER,Peru,Yes,1970,2005,Quechua,0.46,REGIONAL AUTONOMY,,,1000,13501000
135,PER,Peru,Yes,1970,2005,Peruvians,0.425,DOMINANT,,,2000,13502000
135,PER,Peru,Yes,1970,2005,Aymara,0.054,REGIONAL AUTONOMY,,,3000,13503000
135,PER,Peru,Yes,1970,2005,Afroperuvians,0.02,DISCRIMINATED,,,4000,13504000
140,BRA,Brazil,No,1946,1977,Whites,0.55,IRRELEVANT,,,1000,14001000
140,BRA,Brazil,No,1946,1977,Afro-Brazilians,0.44,IRRELEVANT,,,2000,14002000
140,BRA,Brazil,Yes,1978,2005,Whites,0.55,DOMINANT,,,1000,14001000
140,BRA,Brazil,Yes,1978,2005,Afro-Brazilians,0.44,POWERLESS,,,2000,14002000
145,BOL,Bolivia,Yes,1946,1952,Quechua,0.37,DISCRIMINATED,10101,,3000,14503000
145,BOL,Bolivia,Yes,1946,1952,Bolivians,0.35,MONOPOLY,,,4000,14504000
145,BOL,Bolivia,Yes,1946,1952,Aymara,0.23,DISCRIMINATED,10101,,5000,14505000
145,BOL,Bolivia,Yes,1946,1952,Guaraní and other Eastern indigenous groups,0.032,IRRELEVANT,,,6000,14506000
145,BOL,Bolivia,Yes,1953,2005,Quechua,0.37,REGIONAL AUTONOMY,,,3000,14503000
145,BOL,Bolivia,Yes,1953,2005,Bolivians,0.35,DOMINANT,,,4000,14504000
145,BOL,Bolivia,Yes,1953,2005,Aymara,0.23,REGIONAL AUTONOMY,,,5000,14505000
145,BOL,Bolivia,Yes,1953,2005,Guaraní and other Eastern indigenous groups,0.032,POWERLESS,,,6000,14506000
150,PAR,Paraguay,Yes,1946,2005,Paraguayans,0.943,MONOPOLY,,,1000,15001000
150,PAR,Paraguay,Yes,1946,2005,Tupi-Guarani and other indigenous groups,0.018,DISCRIMINATED,,,5000,15005000
155,CHL,Chile,Yes,1946,1989,Chileans,0.92,MONOPOLY,,,1000,15501000
155,CHL,Chile,Yes,1946,1989,Mapuche,0.04,DISCRIMINATED,,,2000,15502000
155,CHL,Chile,Yes,1946,1989,Atacamenos,0.0013,DISCRIMINATED,,,10000,15510000
155,CHL,Chile,Yes,1990,2005,Chileans,0.92,MONOPOLY,,,1000,15501000
155,CHL,Chile,Yes,1990,2005,Mapuche,0.04,REGIONAL AUTONOMY,,,2000,15502000
155,CHL,Chile,Yes,1990,2005,Atacamenos,0.0013,REGIONAL AUTONOMY,,,10000,15510000
160,ARG,Argentina,Yes,1946,2005,Argentinians,0.83,MONOPOLY,,,1000,16001000
160,ARG,Argentina,Yes,1946,2005,Quechua,0.01,DISCRIMINATED,,,5000,16005000
165,URU,Uruguay,No,1946,2005,,,,,,,
200,UK,United Kingdom,Yes,1946,1963,English,0.815,SENIOR PARTNER,,,1000,20001000
200,UK,United Kingdom,Yes,1946,1963,Scots,0.095,JUNIOR PARTNER,,,2000,20002000
200,UK,United Kingdom,Yes,1946,1963,Asians,0.028,IRRELEVANT,,,3000,20003000
200,UK,United Kingdom,Yes,1946,1963,Afro-Caribbeans,0.02,IRRELEVANT,,,4000,20004000
200,UK,United Kingdom,Yes,1946,1963,Welsh,0.019,IRRELEVANT,,,5000,20005000
200,UK,United Kingdom,Yes,1946,1963,Catholics In N. Ireland,0.012,DISCRIMINATED,21900,,6000,20006000
200,UK,United Kingdom,Yes,1946,1963,Protestants In N. Ireland,0.01,REGIONAL AUTONOMY,,,7000,20007000
200,UK,United Kingdom,Yes,1964,1971,English,0.815,SENIOR PARTNER,,,1000,20001000
200,UK,United Kingdom,Yes,1964,1971,Scots,0.095,JUNIOR PARTNER,,,2000,20002000
200,UK,United Kingdom,Yes,1964,1971,Asians,0.028,IRRELEVANT,,,3000,20003000
200,UK,United Kingdom,Yes,1964,1971,Afro-Caribbeans,0.02,IRRELEVANT,,,4000,20004000
200,UK,United Kingdom,Yes,1964,1971,Welsh,0.019,JUNIOR PARTNER,,,5000,20005000
200,UK,United Kingdom,Yes,1964,1971,Catholics In N. Ireland,0.012,DISCRIMINATED,21900,,6000,20006000
200,UK,United Kingdom,Yes,1964,1971,Protestants In N. Ireland,0.01,REGIONAL AUTONOMY,,,7000,20007000
200,UK,United Kingdom,Yes,1972,1997,English,0.815,SENIOR PARTNER,,,1000,20001000
200,UK,United Kingdom,Yes,1972,1997,Scots,0.095,JUNIOR PARTNER,,,2000,20002000
200,UK,United Kingdom,Yes,1972,1997,Asians,0.028,POWERLESS,,,3000,20003000
200,UK,United Kingdom,Yes,1972,1997,Afro-Caribbeans,0.02,POWERLESS,,,4000,20004000
200,UK,United Kingdom,Yes,1972,1997,Welsh,0.019,JUNIOR PARTNER,,,5000,20005000
200,UK,United Kingdom,Yes,1972,1997,Catholics In N. Ireland,0.012,POWERLESS,21900,,6000,20006000
200,UK,United Kingdom,Yes,1972,1997,Protestants In N. Ireland,0.01,POWERLESS,,,7000,20007000
200,UK,United Kingdom,Yes,1998,2005,English,0.815,SENIOR PARTNER,,,1000,20001000
200,UK,United Kingdom,Yes,1998,2005,Scots,0.095,JUNIOR PARTNER,,,2000,20002000
200,UK,United Kingdom,Yes,1998,2005,Asians,0.028,POWERLESS,,,3000,20003000
200,UK,United Kingdom,Yes,1998,2005,Afro-Caribbeans,0.02,POWERLESS,,,4000,20004000
200,UK,United Kingdom,Yes,1998,2005,Welsh,0.019,JUNIOR PARTNER,,,5000,20005000
200,UK,United Kingdom,Yes,1998,2005,Catholics In N. Ireland,0.012,REGIONAL AUTONOMY,21900,,6000,20006000
200,UK,United Kingdom,Yes,1998,2005,Protestants In N. Ireland,0.01,REGIONAL AUTONOMY,,,7000,20007000
205,EI,Ireland,No,1946,2005,,,,,,,
210,NL,Netherlands,Yes,1946,1956,Dutch,0.94,MONOPOLY,,,1000,21001000
210,NL,Netherlands,Yes,1957,1982,Dutch,0.85,MONOPOLY,,,1000,21001000
210,NL,Netherlands,Yes,1957,1982,Post-Colonial Immigrants,0.1,POWERLESS,,,2000,21002000
210,NL,Netherlands,Yes,1983,2005,Dutch,0.85,SENIOR PARTNER,,,1000,21001000
210,NL,Netherlands,Yes,1983,2005,Post-Colonial Immigrants,0.1,JUNIOR PARTNER,,,2000,21002000
211,BE,Belgium,Yes,1946,1969,Flemings,0.59,JUNIOR PARTNER,,,1000,21101000
211,BE,Belgium,Yes,1946,1969,Walloon,0.4,SENIOR PARTNER,,,2000,21102000
211,BE,Belgium,Yes,1946,1969,Germans,0.01,IRRELEVANT,,,3000,21103000
211,BE,Belgium,Yes,1970,2005,Flemings,0.59,SENIOR PARTNER,,,1000,21101000
211,BE,Belgium,Yes,1970,2005,Walloon,0.4,SENIOR PARTNER,,,2000,21102000
211,BE,Belgium,Yes,1970,2005,Germans,0.01,REGIONAL AUTONOMY,,,3000,21103000
220,FR,France,Yes,1946,1961,French,0.976,MONOPOLY,,,1000,22001000
220,FR,France,Yes,1946,1961,Basques,0.013,POWERLESS,,,2000,22002000
220,FR,France,Yes,1946,1961,Corsicans,0.004,IRRELEVANT,,,3000,22003000
220,FR,France,Yes,1946,1961,Roma,0.006,DISCRIMINATED,,,4000,22004000
220,FR,France,Yes,1962,1991,French,0.976,MONOPOLY,,,1000,22001000
220,FR,France,Yes,1962,1991,Basques,0.013,POWERLESS,,,2000,22002000
220,FR,France,Yes,1962,1991,Corsicans,0.004,POWERLESS,,,3000,22003000
220,FR,France,Yes,1962,1991,Roma,0.006,DISCRIMINATED,,,4000,22004000
220,FR,France,Yes,1992,2005,French,0.976,MONOPOLY,,,1000,22001000
220,FR,France,Yes,1992,2005,Basques,0.013,POWERLESS,,,2000,22002000
220,FR,France,Yes,1992,2005,Corsicans,0.004,REGIONAL AUTONOMY,,,3000,22003000
220,FR,France,Yes,1992,2005,Roma,0.006,DISCRIMINATED,,,4000,22004000
225,SZ,Switzerland,Yes,1946,2005,Swiss Germans,0.622,SENIOR PARTNER,,,1000,22501000
225,SZ,Switzerland,Yes,1946,2005,Swiss French,0.164,JUNIOR PARTNER,,,2000,22502000
225,SZ,Switzerland,Yes,1946,2005,Swiss Italians,0.081,JUNIOR PARTNER,,,3000,22503000
230,SP,Spain,Yes,1946,1978,Spanish,0.68,MONOPOLY,,,1000,23001000
230,SP,Spain,Yes,1946,1978,Catalans,0.169,POWERLESS,,,2000,23002000
230,SP,Spain,Yes,1946,1978,Galicians,0.06,IRRELEVANT,,,3000,23003000
230,SP,Spain,Yes,1946,1978,Basques,0.054,POWERLESS,,,4000,23004000
230,SP,Spain,Yes,1946,1978,Roma,0.019,DISCRIMINATED,,,5000,23005000
230,SP,Spain,Yes,1979,2005,Spanish,0.68,MONOPOLY,,,1000,23001000
230,SP,Spain,Yes,1979,2005,Catalans,0.169,REGIONAL AUTONOMY,,,2000,23002000
230,SP,Spain,Yes,1979,2005,Galician,0.06,REGIONAL AUTONOMY,,,3000,23003000
230,SP,Spain,Yes,1979,2005,Basques,0.054,REGIONAL AUTONOMY,24800,,4000,23004000
230,SP,Spain,Yes,1979,2005,Roma,0.019,POWERLESS,,,5000,23005000
235,PO,Portugal,No,1946,2005,,,,,,,
255,GM,Germany,No,1990,2005,,,,,,,
260,GFR,West Germany,No,1955,1989,,,,,,,
265,GMY,East Germany,No,1954,1989,,,,,,,
290,POL,Poland,Yes,1946,1967,Poles   ,0.98,DOMINANT,,,1000,29001000
290,POL,Poland,Yes,1946,1967,Ukrainians   ,0.005,DISCRIMINATED,,,3000,29003000
290,POL,Poland,Yes,1946,1967,Byelorussians   ,0.0033,POWERLESS,,,4000,29004000
290,POL,Poland,Yes,1946,1967,Germans   ,0.0017,POWERLESS,,,2000,29002000
290,POL,Poland,Yes,1946,1967,Roma,0.001,POWERLESS,,,6000,29006000
290,POL,Poland,Yes,1946,1967,European and American Jews,0.001,POWERLESS,,,5000,29005000
290,POL,Poland,Yes,1968,1989,Poles   ,0.98,DOMINANT,,,1000,29001000
290,POL,Poland,Yes,1968,1989,Ukrainians   ,0.005,DISCRIMINATED,,,3000,29003000
290,POL,Poland,Yes,1968,1989,Byelorussians   ,0.0033,POWERLESS,,,4000,29004000
290,POL,Poland,Yes,1968,1989,Germans   ,0.0017,POWERLESS,,,2000,29002000
290,POL,Poland,Yes,1968,1989,European and American Jews,0.001,DISCRIMINATED,,,5000,29005000
290,POL,Poland,Yes,1968,1989,Roma,0.001,POWERLESS,,,6000,29006000
290,POL,Poland,Yes,1990,2005,Poles   ,0.988,MONOPOLY,,,1000,29001000
290,POL,Poland,Yes,1990,2005,Germans   ,0.0083,POWERLESS,,,2000,29002000
290,POL,Poland,Yes,1990,2005,Byelorussians   ,0.002,POWERLESS,,,4000,29004000
290,POL,Poland,Yes,1990,2005,Ukrainians   ,0.0009,POWERLESS,,,3000,29003000
290,POL,Poland,Yes,1990,2005,Roma,0.0003,DISCRIMINATED,,,6000,29006000
290,POL,Poland,Yes,1990,2005,European and American Jews,0.0003,IRRELEVANT,,,5000,29005000
305,AU,Austria,Yes,1955,2005,Austrians,0.93,MONOPOLY,,,1000,30501000
305,AU,Austria,Yes,1955,2005,Slovenes,0.01,POWERLESS,,,2000,30502000
310,HUN,Hungary,Yes,1946,1992,Hungarians,0.9,MONOPOLY,,,1000,31001000
310,HUN,Hungary,Yes,1946,1992,Roma,0.05,DISCRIMINATED,,,2000,31002000
310,HUN,Hungary,Yes,1993,2005,Hungarians,0.9,MONOPOLY,,,1000,31001000
310,HUN,Hungary,Yes,1993,2005,Roma,0.05,POWERLESS,,,2000,31002000
315,CZE,Czechoslovakia,Yes,1946,1992,Czechs,0.625,SENIOR PARTNER,,,1000,31501000
315,CZE,Czechoslovakia,Yes,1946,1992,Slovaks,0.308,JUNIOR PARTNER,,,2000,31502000
315,CZE,Czechoslovakia,Yes,1946,1992,Hungarians,0.041,POWERLESS,,,3000,31503000
315,CZE,Czechoslovakia,Yes,1946,1992,Roma,0.026,DISCRIMINATED,,,4000,31504000
316,CZR,Czech Republic,Yes,1993,2005,Czechs,0.943,MONOPOLY,,,1000,31601000
316,CZR,Czech Republic,Yes,1993,2005,Slovaks,0.031,POWERLESS,,,2000,31602000
316,CZR,Czech Republic,Yes,1993,2005,Roma,0.026,DISCRIMINATED,,,4000,31604000
317,SLO,Slovakia,Yes,1993,1997,Slovaks,0.806,MONOPOLY,,,1000,31701000
317,SLO,Slovakia,Yes,1993,1997,Hungarians,0.101,REGIONAL AUTONOMY,,,2000,31702000
317,SLO,Slovakia,Yes,1993,1997,Roma,0.093,DISCRIMINATED,,,3000,31703000
317,SLO,Slovakia,Yes,1998,2005,Slovaks,0.806,SENIOR PARTNER,,,1000,31701000
317,SLO,Slovakia,Yes,1998,2005,Hungarians,0.101,JUNIOR PARTNER,,,2000,31702000
317,SLO,Slovakia,Yes,1998,2005,Roma,0.093,DISCRIMINATED,,,3000,31703000
325,IT,Italy,No,1946,2005,,,,,,,
339,ALB,Albania,Yes,1946,1989,Albanians,0.95,MONOPOLY,,,1000,33901000
339,ALB,Albania,Yes,1946,1989,Greeks,0.03,IRRELEVANT,,,2000,33902000
339,ALB,Albania,Yes,1946,1989,Macedonians,0.01,IRRELEVANT,,,3000,33903000
339,ALB,Albania,Yes,1990,2005,Albanians,0.95,MONOPOLY,,,1000,33901000
339,ALB,Albania,Yes,1990,2005,Greeks,0.03,POWERLESS,,,2000,33902000
339,ALB,Albania,Yes,1990,2005,Macedonians,0.01,POWERLESS,,,3000,33903000
343,MAC,Macedonia,Yes,1993,2005,Macedonians,0.66,SENIOR PARTNER,,,1000,34301000
343,MAC,Macedonia,Yes,1993,2005,Albanians,0.23,JUNIOR PARTNER,32600,,2000,34302000
343,MAC,Macedonia,Yes,1993,2005,Turks,0.02,POWERLESS,,,5000,34305000
343,MAC,Macedonia,Yes,1993,2005,Roma,0.02,POWERLESS,,,3000,34303000
343,MAC,Macedonia,Yes,1993,2005,Serbs,0.02,POWERLESS,,,4000,34304000
344,CRO,Croatia,Yes,1992,1993,Croats,0.781,MONOPOLY,,,1000,34401000
344,CRO,Croatia,Yes,1992,1993,Serbs,0.122,DISCRIMINATED,29700,,2000,34402000
344,CRO,Croatia,Yes,1992,1993,Bosniaks,0.0047,POWERLESS,,,3000,34403000
344,CRO,Croatia,Yes,1992,1993,Italians,0.0044,POWERLESS,,,4000,34404000
344,CRO,Croatia,Yes,1992,1993,Roma,0.0077,DISCRIMINATED,,,5000,34405000
344,CRO,Croatia,Yes,1994,2003,Croats,0.896,DOMINANT,,,1000,34401000
344,CRO,Croatia,Yes,1994,2003,Serbs,0.045,DISCRIMINATED,29700,,2000,34402000
344,CRO,Croatia,Yes,1994,2003,Bosniaks,0.0047,POWERLESS,,,3000,34403000
344,CRO,Croatia,Yes,1994,2003,Italians,0.0044,POWERLESS,,,4000,34404000
344,CRO,Croatia,Yes,1994,2003,Roma,0.0077,DISCRIMINATED,,,5000,34405000
344,CRO,Croatia,Yes,2004,2005,Croats,0.896,DOMINANT,,,1000,34401000
344,CRO,Croatia,Yes,2004,2005,Serbs,0.045,DISCRIMINATED,,,2000,34402000
344,CRO,Croatia,Yes,2004,2005,Bosniaks,0.0047,POWERLESS,,,3000,34403000
344,CRO,Croatia,Yes,2004,2005,Italians,0.0044,POWERLESS,,,4000,34404000
344,CRO,Croatia,Yes,2004,2005,Roma,0.0077,DISCRIMINATED,,,5000,34405000
345,YUG,Yugoslavia,Yes,1946,1965,Serbs,0.36,SENIOR PARTNER,,,1000,34501000
345,YUG,Yugoslavia,Yes,1946,1965,Croats,0.2,JUNIOR PARTNER,,,2000,34502000
345,YUG,Yugoslavia,Yes,1946,1965,Bosniaks/Muslims,0.1,REGIONAL AUTONOMY,,,4000,34504000
345,YUG,Yugoslavia,Yes,1946,1965,Albanians,0.09,DISCRIMINATED,,,6000,34506000
345,YUG,Yugoslavia,Yes,1946,1965,Slovenes,0.08,JUNIOR PARTNER,,,7000,34507000
345,YUG,Yugoslavia,Yes,1946,1965,Macedonians,0.06,JUNIOR PARTNER,,,8000,34508000
345,YUG,Yugoslavia,Yes,1946,1965,Montenegrins,0.02,JUNIOR PARTNER,,,9000,34509000
345,YUG,Yugoslavia,Yes,1946,1965,Hungarians,0.02,POWERLESS,,,11000,34511000
345,YUG,Yugoslavia,Yes,1966,1986,Serbs,0.36,SENIOR PARTNER,,,1000,34501000
345,YUG,Yugoslavia,Yes,1966,1986,Croats,0.2,SENIOR PARTNER,,,2000,34502000
345,YUG,Yugoslavia,Yes,1966,1986,Bosniaks/Muslims,0.1,SENIOR PARTNER,,,4000,34504000
345,YUG,Yugoslavia,Yes,1966,1986,Albanians,0.09,JUNIOR PARTNER,,,6000,34506000
345,YUG,Yugoslavia,Yes,1966,1986,Slovenes,0.08,SENIOR PARTNER,,,7000,34507000
345,YUG,Yugoslavia,Yes,1966,1986,Macedonians,0.06,SENIOR PARTNER,,,8000,34508000
345,YUG,Yugoslavia,Yes,1966,1986,Hungarians,0.02,REGIONAL AUTONOMY,,,11000,34511000
345,YUG,Yugoslavia,Yes,1966,1986,Montenegrins,0.02,SENIOR PARTNER,,,9000,34509000
345,YUG,Yugoslavia,Yes,1987,1991,Serbs,0.36,SENIOR PARTNER,,,1000,34501000
345,YUG,Yugoslavia,Yes,1987,1991,Croats,0.2,SENIOR PARTNER,29200,,2000,34502000
345,YUG,Yugoslavia,Yes,1987,1991,Bosniaks/Muslims,0.1,SENIOR PARTNER,,,4000,34504000
345,YUG,Yugoslavia,Yes,1987,1991,Albanians,0.09,DISCRIMINATED,,,6000,34506000
345,YUG,Yugoslavia,Yes,1987,1991,Slovenes,0.08,SENIOR PARTNER,29100,,7000,34507000
345,YUG,Yugoslavia,Yes,1987,1991,Macedonians,0.06,SENIOR PARTNER,,,8000,34508000
345,YUG,Yugoslavia,Yes,1987,1991,Hungarians,0.02,REGIONAL AUTONOMY,,,11000,34511000
345,YUG,Yugoslavia,Yes,1987,1991,Montenegrins,0.02,SENIOR PARTNER,,,9000,34509000
345,YUG,Yugoslavia,Yes,1992,1992,Serbs,0.62,SENIOR PARTNER,,,1000,34501000
